mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,fg_id,fg_name,fg_pos,lahman_id,retro_id,retro_name,debut
621094,Jamie Callahan,P,NYM,New York Mets,R,R,1994,100514,callaja01,Jamie Callahan,14711,Jamie Callahan,P,callaja01,callj001,Jamie Callahan,20170902
621106,Zach Jemiola,P,COL,Colorado Rockies,L,R,1994,100517,,,sa658131,Zach Jemiola,,,,,22220202
621107,Zach Eflin,P,PHI,Philadelphia Phillies,R,R,1994,100518,eflinza01,Zach Eflin,13774,Zach Eflin,P,eflinza01,efliz001,Zach Eflin,20160614
621112,Paul Blackburn,P,OAK,Oakland Athletics,R,R,1993,100519,blackpa01,Paul Blackburn,14739,Paul Blackburn,P,blackpa01,blacp001,Paul Blackburn,20170701
621121,Lance McCullers Jr.,P,HOU,Houston Astros,L,R,1993,100521,mcculla02,Lance McCullers Jr.,14120,Lance McCullers Jr.,P,mcculla02,mccul002,Lance McCullers,20150518
621141,Walker Lockett,P,NYM,New York Mets,R,R,1994,100525,lockewa01,Walker Lockett,13804,Walker Lockett,P,,lockw001,Walker Lockett,20180601
621142,Ty Buttrey,P,LAA,Los Angeles Angels,L,R,1993,100526,buttrty01,Ty Buttrey,14719,Ty Buttrey,P,,buttt001,Ty Buttrey,20180816
621173,Dylan Baker,P,LAD,Los Angeles Dodgers,R,R,1992,100532,,,sa658002,Dylan Baker,,,,,22220202
621199,Matt Bowman,P,CIN,Cincinnati Reds,R,R,1991,100544,bowmama01,Matt Bowman,13528,Matt Bowman,P,bowmama01,bowmm001,Matt Bowman,20160406
621209,Jon Moscot,P,CIN,Cincinnati Reds,R,R,1991,100550,moscojo01,Jon Moscot,13849,Jon Moscot,P,moscojo01,moscj001,Jon Moscot,20150605
621219,Alec Mills,P,CHC,Chicago Cubs,R,R,1991,100555,millsal02,Alec Mills,13834,Alec Mills,P,millsal02,milla003,Alec Mills,20160518
621237,Jose Alvarado,P,TB,Tampa Bay Rays,L,L,1995,100568,alvarjo03,Jose Alvarado,17780,Jose Alvarado,P,alvarjo03,alvaj004,Jose Alvarado,20170503
621242,Edwin Diaz,P,NYM,New York Mets,R,R,1994,100572,diazed04,Edwin Diaz,14710,Edwin Diaz,P,diazed04,diaze006,Edwin Diaz,20160606
621244,Jose Berrios,P,MIN,Minnesota Twins,R,R,1994,100574,berrijo01,Jose Berrios,14168,Jose Berrios,P,berrijo01,berrj001,Jose Berrios,20160427
621249,Duane Underwood Jr.,P,CHC,Chicago Cubs,R,R,1994,100576,underdu01,Duane Underwood Jr.,14677,Duane Underwood Jr.,P,,,,22220202
621261,Corey Oswalt,P,NYM,New York Mets,R,R,1993,100577,oswalco01,Corey Oswalt,13677,Corey Oswalt,P,,oswac001,Corey Oswalt,20180425
621281,Tyler Wagner,P,TEX,Texas Rangers,R,R,1991,100584,wagnety01,Tyler Wagner,13796,Tyler Wagner,P,wagnety01,wagnt001,Tyler Wagner,20150531
621283,Stephen Johnson,P,CIN,Cincinnati Reds,R,R,1991,100585,,,sa658027,Stephen Johnson,,,,,22220202
621295,Nick Wittgren,P,CLE,Cleveland Indians,R,R,1991,100591,wittgni01,Nick Wittgren,15594,Nick Wittgren,P,wittgni01,wittn001,Nick Wittgren,20160419
621311,David Dahl,LF,COL,Colorado Rockies,L,R,1994,100595,dahlda01,David Dahl,13744,David Dahl,OF,dahlda01,dahld001,David Dahl,20160725
621350,Caleb Frare,P,CWS,Chicago White Sox,L,L,1993,100605,frareca01,Caleb Frare,14353,Caleb Frare,P,,frarc001,Caleb Frare,20180902
621366,Ryan Borucki,P,TOR,Toronto Blue Jays,L,L,1994,100606,borucry01,Ryan Borucki,16350,Ryan Borucki,P,,borur001,Ryan Borucki,20180626
621381,Matt Strahm,P,SD,San Diego Padres,R,L,1991,100612,strahma01,Matt Strahm,13799,Matt Strahm,P,strahma01,stram001,Matt Strahm,20160731
621385,Daniel Stumpf,P,DET,Detroit Tigers,L,L,1991,100613,stumpda01,Daniel Stumpf,13780,Daniel Stumpf,P,stumpda01,stumd001,Daniel Stumpf,20160407
621433,Brett Phillips,RF,KC,Kansas City Royals,L,R,1994,100628,phillbr02,Brett Phillips,14735,Brett Phillips,OF,phillbr02,philb002,Brett Phillips,20170625
621438,Tyrone Taylor,CF,MIL,Milwaukee Brewers,R,R,1994,100630,,,,,,,,,22220202
621439,Byron Buxton,CF,MIN,Minnesota Twins,R,R,1993,100631,buxtoby01,Byron Buxton,14161,Byron Buxton,OF,buxtoby01,buxtb001,Byron Buxton,20150614
621446,Lewis Brinson,CF,MIA,Miami Marlins,R,R,1994,100634,brinsle01,Lewis Brinson,14352,Lewis Brinson,OF,brinsle01,brinl001,Lewis Brinson,20170611
621471,Boog Powell,CF,OAK,Oakland Athletics,L,L,1993,100641,powelbo02,Boog Powell,15103,Boog Powell,OF,powelbo02,poweb002,Boog Powell,20170429
621512,Tomas Nido,C,NYM,New York Mets,R,R,1994,100653,nidoto01,Tomas Nido,13755,Tomas Nido,C,nidoto01,nidot001,Tomas Nido,20170913
621550,Patrick Wisdom,3B,TEX,Texas Rangers,R,R,1991,100661,wisdopa01,Patrick Wisdom,13602,Patrick Wisdom,3B,,wisdp001,Patrick Wisdom,20180812
621559,Max Moroff,SS,CLE,Cleveland Indians,S,R,1993,100663,morofma01,Max Moroff,14556,Max Moroff,2B/SS,morofma01,morom001,Max Moroff,20160731
